,구별,구면적,공원명,공원면적,공원주소,위도,경도,인구수
48,강서구,41440000.0,꿩고개근린공원,180000.0,서울특별시 강서구 방화동 꿩고개근린공원,37.5800025,126.8157628,589536
49,강서구,41440000.0,방화근린공원,72132.0,서울특별시 강서구 방화동,37.5809651,126.8138164,589536
50,강서구,41440000.0,염창근린공원,112070.0,서울특별시 강서구 염창동 염창공원,37.55797829999999,126.8675083,589536
51,강서구,41440000.0,우장산근린공원,359435.2,서울특별시 강서구 화곡동 화곡로 302 우장근린공원,37.5508377,126.8498115,589536
52,강서구,41440000.0,봉제산공원,917190.0,서울특별시 강서구 화곡동 봉제산공원 둘레길,37.5421745,126.8547045,589536
53,강서구,41440000.0,개화근린공원,386500.0,서울특별시 강서구 개화동 산17,37.581391700000005,126.8068278,589536
54,동대문구,14220000.0,간데메근린공원,15179.7,서울특별시 동대문구 답십리동 471 간데메공원,37.57336859999999,127.0486847,358679
55,동대문구,14220000.0,답십리근린공원,160720.0,서울특별시 동대문구 답십리동 답십리공원,37.5743965,127.0634054,358679
56,동대문구,14220000.0,배봉산근린공원,265582.0,서울특별시 동대문구 전농2동 전농로16길 97 배봉산근린공원,37.5810408,127.0638421,358679
57,동대문구,14220000.0,용두근린공원,17182.0,서울특별시 동대문구 용두동 용두근린공원,37.5732295,127.0392689,358679
58,동작구,16350000.000000002,보라매근린공원,424106.0,서울특별시 동작구 여의대방로20길 33(보라매공원),37.492333,126.91828899999999,404617
59,동작구,16350000.000000002,국립현충원,2038741.3,서울특별시 동작구 동작동 현충로 210,37.5005944,126.9726349,404617
60,동작구,16350000.000000002,까치산근린공원,384026.0,서울특별시 동작구 사당1동 까치산근린공원,37.4768347,126.9686538,404617
61,동작구,16350000.000000002,노량진공원,416031.0,서울특별시 동작구 본동 노량진근린공원,37.5083193,126.9541124,404617
62,동작구,16350000.000000002,사육신공원,47832.0,서울특별시 동작구 노량진로 191,37.5137049,126.94863600000001,404617
63,동작구,16350000.000000002,삼일근린공원,36660.0,서울특별시 동작구 사당동 산24-17,37.4860183,126.9743686,404617
64,동작구,16350000.000000002,상도근린공원,359342.8,서울특별시 동작구 상도동 산 75 상도근린공원,37.4932375,126.940142,404617
65,광진구,17060000.0,어린이대공원,560552.0,서울특별시 광진구 능동 능동로 216 어린이대공원,37.5482248,127.0808374,361923
66,광진구,17060000.0,아차산생태공원,23450.0,서울특별시 광진구 광장동 370 아차산 생태공원,37.5518658,127.1007676,361923
67,용산구,21870000.0,용산가족공원,75900.0,서울특별시 용산구 용산동6가 서빙고로 185 용산가족공원,37.5216852,126.9839703,244953
68,용산구,21870000.0,효창근린공원,171294.1,서울특별시 용산구 효창원로 177-18,37.545234,126.95993,244953
69,서대문구,17630000.0,독립근린공원,113021.7,서울특별시 서대문구 통일로251(독립공원),37.5738289,126.956771,323860
70,서대문구,17630000.0,궁동근린공원,126026.0,서울특별시 서대문구 연희동 성산로7길 19-24 궁동근린공원,37.5706722,126.9248635,323860
71,서대문구,17630000.0,안산도시자연공원,2088704.9,서울특별시 서대문구 연희동 안산도시자연공원,37.5719319,126.9429294,323860
72,서대문구,17630000.0,백련근린공원,993724.0,서울특별시 은평구 응암동 백련근린공원,37.5941417,126.9290013,323860
73,서초구,46980000.0,양재시민의숲,258991.0,서울특별시 서초구 양재2동 236 양재시민의숲,37.4706864,127.0355777,429995
74,서초구,46980000.0,문화예술공원,74385.0,서울특별시 양재동 바우뫼로12길 40 문화예술공원,37.4677012,127.0308217,429995
75,서초구,46980000.0,인능산도시자연공원,2400833.0,서울특별시 내곡동 산1-1419 인능산제2도시자연공원,37.4801176,127.0753916,429995
76,서초구,46980000.0,구룡산,2752421.0,서울특별시 개포동 구룡산,37.4691667,127.0572222,429995
77,서초구,46980000.0,우면산도시자연공원,4180551.0,서울특별시 서초구 우면동 우면산자연생태공원,37.4673811,127.0190515,429995
78,관악구,29570000.0,관악산도시자연공원,10420819.08,서울특별시 관악구 신림동 관악산자연공원,37.4662965,126.9455311,514555
79,관악구,29570000.0,샘말공원(관악산),10634.0,서울특별시 관악구 신림동 신림로 샘말공원,37.46482,126.9384589,514555
80,금천구,13020000.0,감로천생태공원(관악산),15000.0,서울특별시 금천구 독산동 373 감로천생태공원,37.4694899,126.9081735,249641
81,금천구,13020000.0,금천체육공원(관악산),18083.0,서울특별시 금천구 독산동 금천체육공원,37.4683789,126.9085069,249641
82,금천구,13020000.0,금천폭포근린공원,4835.0,서울특별시 금천구 시흥동 금천폭포공원,37.446687,126.9041468,249641
83,성북구,24570000.0,개운산근린공원,297926.0,서울특별시 성북구 돈암동 개운산공원,37.5980596,127.0253529,449871
