종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
069140,누리플랜,"5,860","-110","1.84","5,860","5,820","48,535","284,922,660","5,910","6,000","5,810","500",원(KRW),"6,853,575","40,161,949,500",
126870,뉴로스,"2,995","-30","0.99","3,000","2,995","256,252","772,298,215","3,025","3,045","2,950","500",원(KRW),"29,478,880","88,289,245,600",
060260,뉴보텍,"1,605","-15","0.93","1,610","1,600","413,362","665,687,100","1,615","1,630","1,595","500",원(KRW),"33,433,750","53,661,168,750",
012340,뉴인텍,"2,575","-50","1.90","2,575","2,570","265,171","680,791,030","2,620","2,620","2,540","500",원(KRW),"30,044,502","77,364,592,650",
214870,뉴지랩,"14,050","350","2.55","14,100","14,050","2,123,960","30,120,942,300","14,150","14,700","13,550","500",원(KRW),"29,229,188","410,670,091,400",
270870,뉴트리,"22,200","-100","0.45","22,200","22,150","29,125","645,933,900","22,150","22,350","22,050","500",원(KRW),"9,072,724","201,414,472,800",
144960,뉴파워프라즈마,"6,480","-210","3.14","6,490","6,480","720,351","4,708,247,850","6,660","6,690","6,420","100",원(KRW),"43,692,624","283,128,203,520",
900100,뉴프라이드,"717","0","0.00","0","0","0","0","0","0","0","0.3",미국센트(USC),"106,946,078","76,680,337,926",
085670,뉴프렉스,"2,360","-30","1.26","2,385","2,360","225,776","540,203,000","2,355","2,435","2,330","500",원(KRW),"21,769,590","51,376,232,400",
119860,다나와,"29,100","-800","2.68","29,150","29,100","76,137","2,227,386,650","30,000","30,000","28,950","500",원(KRW),"13,074,822","380,477,320,200",
064260,다날,"5,190","50","0.97","5,190","5,180","1,510,735","7,893,165,000","5,210","5,280","5,170","500",원(KRW),"68,949,040","357,845,517,600",
093640,다믈멀티미디어,"2,895","-5","0.17","2,895","2,880","81,087","234,845,720","2,880","3,030","2,865","500",원(KRW),"12,600,336","36,477,972,720",
039560,다산네트웍스,"13,050","-250","1.88","13,050","13,000","487,624","6,370,376,700","13,150","13,250","13,000","500",원(KRW),"35,020,673","457,019,782,650",
032190,다우데이타,"12,850","-150","1.15","12,900","12,850","120,033","1,550,737,050","12,950","13,050","12,750","500",원(KRW),"38,300,000","492,155,000,000",
068240,다원시스,"20,500","-200","0.97","20,550","20,500","154,035","3,164,383,650","20,650","20,750","20,400","500",원(KRW),"26,998,295","553,465,047,500",
020400,대동금속,"8,980","-40","0.44","9,010","8,980","4,142","37,343,290","9,020","9,070","8,970","1,000",원(KRW),"2,607,711","23,417,244,780",
008830,대동기어,"3,125","-25","0.79","3,125","3,120","7,564","23,725,910","3,150","3,150","3,105","500",원(KRW),"8,987,520","28,086,000,000",
048470,대동스틸,"4,970","-60","1.19","4,980","4,970","59,733","297,979,670","5,030","5,030","4,970","500",원(KRW),"10,000,000","49,700,000,000",
004780,대륙제관,"4,755","110","2.37","4,755","4,720","207,848","991,725,165","4,685","4,825","4,625","500",원(KRW),"15,903,199","75,619,711,245",
017650,대림제지,"9,140","-260","2.77","9,140","9,120","250,337","2,363,361,180","9,530","9,820","9,100","500",원(KRW),"9,000,000","82,260,000,000",
007720,대명소노시즌,"1,255","-20","1.57","1,260","1,255","4,797,861","6,086,730,555","1,260","1,305","1,235","500",원(KRW),"100,800,450","126,504,564,750",
317850,대모,"4,610","0","0.00","4,615","4,575","8,949","41,047,240","4,610","4,635","4,565","500",원(KRW),"8,324,420","38,375,576,200",
290670,대보마그네틱,"32,550","-100","0.31","32,600","32,550","47,834","1,568,467,250","33,150","33,250","32,450","500",원(KRW),"6,868,216","223,560,430,800",
078140,대봉엘에스,"11,000","-450","3.93","11,050","11,000","141,236","1,572,466,450","11,500","11,500","11,000","500",원(KRW),"11,086,579","121,952,369,000",
036480,대성미생물,"16,750","-200","1.18","16,800","16,750","29,099","491,403,450","17,150","17,200","16,750","500",원(KRW),"3,800,000","63,650,000,000",
025440,대성엘텍,"705","-17","2.35","705","704","635,392","450,856,511","722","727","704","500",원(KRW),"99,661,343","70,261,246,815",
027830,대성창투,"1,975","30","1.54","1,980","1,975","361,494","712,944,580","1,960","2,005","1,935","500",원(KRW),"40,000,000","79,000,000,000",
104040,대성파인텍,"1,990","-50","2.45","1,995","1,990","521,687","1,044,019,200","2,020","2,030","1,985","100",원(KRW),"31,301,281","62,289,549,190",
307750,대신밸런스제6호스팩,"7,490","1,170","18.51","7,480","7,460","1,088,528","7,786,999,060","6,510","7,880","6,350","100",원(KRW),"5,010,000","37,524,900,000",
332290,대신밸런스제7호스팩,"2,065","10","0.49","2,070","2,065","18,339","37,804,105","2,055","2,065","2,055","100",원(KRW),"5,205,000","10,748,325,000",
336570,대신밸런스제8호스팩,"2,050","5","0.24","2,050","2,045","34,849","71,335,690","2,045","2,055","2,045","100",원(KRW),"5,610,000","11,500,500,000",
020180,대신정보통신,"1,845","-60","3.15","1,855","1,845","673,320","1,257,048,115","1,890","1,910","1,845","500",원(KRW),"38,428,915","70,901,348,175",
