,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수 계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x,여성비율,2030 여성비율,고령자 비율
72,경남,의령군,3323,1579,8713,23911,11453,12458,0.3624469183977964,1,의령,18,7,52.1015432227845,47.517303641287995,36.439295721634394
73,경남,의창구,65290,30864,28161,242721,122271,120450,2.1919676147864067,0,창원 의창,20,6,49.62487794628401,47.27217031704702,11.602209944751381
74,경남,진주시,81837,39596,52845,332208,163346,168862,1.4985712934052418,0,진주,18,6,50.83020276453306,48.38398279506825,15.907202716370467
75,경남,진해구,45710,21823,24374,183583,92993,90590,1.7906785919422334,0,창원 진해,20,8,49.34552763600116,47.74228833953183,13.276828464509242
76,경남,창녕군,9435,4282,16795,56181,27648,28533,0.5099136647811848,1,창녕,17,7,50.78763282960431,45.38420773714891,29.894448301027037
77,경남,통영시,24459,11797,22350,122162,60826,61336,1.0556599552572707,0,통영,21,8,50.208739215140554,48.2317347397686,18.29537826820124
78,경남,하동군,5499,2433,13811,40744,19901,20843,0.3523278546086453,1,하동,20,5,51.155998429216574,44.244408074195306,33.89701551148636
79,경남,함안군,10996,5216,13955,60079,29988,30091,0.747545682551057,1,함안,19,6,50.0857204680504,47.435431065842124,23.22775012899682
80,경남,함양군,4844,2274,11805,35496,16980,18516,0.3852604828462516,1,함양,17,6,52.16362407031778,46.94467382328654,33.257268424611226
81,경남,합천군,5071,2298,15547,40085,19085,21000,0.29561973371068373,1,합천,16,7,52.38867406760633,45.316505620193254,38.78508170138456
82,경북,경산시,70122,32956,39828,255939,127793,128146,1.6549161393994174,0,경산,12,11,50.068961744790755,46.99808904480762,15.561520518561064
83,경북,경주시,51111,23620,50746,239382,119114,120268,0.9309108107042919,1,경주,12,12,50.241037337811534,46.21314394161726,21.198753456817972
84,경북,고령군,4501,2074,8819,29019,14552,14467,0.4703481120308425,1,고령,13,9,49.85354422964265,46.07864918906909,30.39043385368207
85,경북,구미시,116063,54585,35323,396338,201545,194793,3.090620841944342,0,구미,10,10,49.14820178736331,47.03049206034653,8.912342495546731
86,경북,군위군,2621,1141,8360,20861,10491,10370,0.27296650717703347,1,군위,11,10,49.70998513973443,43.53300267073636,40.074780691242026
87,경북,김천시,27713,13073,29105,129665,63978,65687,0.8983336196529806,1,김천,11,9,50.659005899818766,47.1728069858911,22.4463039370686
88,경북,남구,49270,22812,35726,221143,112611,108532,1.2770531265744836,0,포항 남구,11,12,49.07774607380745,46.299979703673635,16.15515752250806
89,경북,문경시,10167,4766,19266,64832,31547,33285,0.49475760406934494,1,문경,8,10,51.34038746298124,46.877151568801025,29.716806515301087
90,경북,봉화군,3568,1684,10308,28857,14309,14548,0.32673651532790066,1,봉화,8,11,50.414110960945344,47.19730941704036,35.7209689156877
91,경북,북구,56621,27263,41106,254864,125439,129425,1.3264730209701747,0,포항 북구,10,12,50.78198568648378,48.149979689514495,16.128601921024547
92,경북,상주시,14788,6635,27712,90827,44325,46502,0.4788539260969977,1,상주,11,8,51.19843218426239,44.86746010278605,30.51075120834113
93,경북,성주군,6021,2663,11890,38006,19264,18742,0.4479394449116905,1,성주,13,11,49.31326632636952,44.228533466201625,31.28453402094406
94,경북,안동시,30402,14428,34890,148890,73525,75365,0.8270564631699627,1,안동,9,10,50.61790583652361,47.45740411815012,23.433407213379002
